Sent [SYN] packet - Time: 0.1429ms
Received [SYN-ACK] packet - Time: 0.0044ms
Sent [ACK] packet - Time: 0.0245ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 1, AckNum: 0, Length: 1024, cwndSize: 1, Checksum: 4294945534, Time: 0.0311ms
Received [Data] packet - Filename: , SeqNum: 1, AckNum: 1, Length: 14, cwndSize: 1, Checksum: 4294919553, Time: 1.6151ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 2, AckNum: 1, Length: 1024, cwndSize: 2, Checksum: 4294907223, Time: 0.0267ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 3, AckNum: 2, Length: 1024, cwndSize: 2, Checksum: 4294958374, Time: 0.0071ms
Received [Data] packet - Filename: , SeqNum: 2, AckNum: 2, Length: 14, cwndSize: 2, Checksum: 4294919553, Time: 0.002ms
Received [Data] packet - Filename: , SeqNum: 3, AckNum: 3, Length: 14, cwndSize: 3, Checksum: 4294919553, Time: 0.0199ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 4, AckNum: 3, Length: 1024, cwndSize: 4, Checksum: 4294922847, Time: 0.0162ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 5, AckNum: 4, Length: 1024, cwndSize: 4, Checksum: 4294904467, Time: 0.0057ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 6, AckNum: 5, Length: 1024, cwndSize: 4, Checksum: 4294949356, Time: 0.0132ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 7, AckNum: 6, Length: 1024, cwndSize: 4, Checksum: 4294936759, Time: 0.0055ms
Received [Data] packet - Filename: , SeqNum: 4, AckNum: 4, Length: 14, cwndSize: 4, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 5, AckNum: 5, Length: 14, cwndSize: 5, Checksum: 4294919553, Time: 0.0252ms
Received [Data] packet - Filename: , SeqNum: 6, AckNum: 6, Length: 14, cwndSize: 6, Checksum: 4294919553, Time: 0.0014ms
Received [Data] packet - Filename: , SeqNum: 7, AckNum: 7, Length: 14, cwndSize: 7, Checksum: 4294919553, Time: 0.0222ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 8, AckNum: 7, Length: 1024, cwndSize: 9, Checksum: 4294948198, Time: 0.0115ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 9, AckNum: 8, Length: 1024, cwndSize: 9, Checksum: 4294931598, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 10, AckNum: 9, Length: 1024, cwndSize: 9, Checksum: 4294933538, Time: 0.0064ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 11, AckNum: 10, Length: 1024, cwndSize: 9, Checksum: 4294961121, Time: 0.0053ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 12, AckNum: 11, Length: 1024, cwndSize: 9, Checksum: 4294940180, Time: 0.007ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 13, AckNum: 12, Length: 1024, cwndSize: 9, Checksum: 4294920945, Time: 0.0082ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 14, AckNum: 13, Length: 1024, cwndSize: 9, Checksum: 4294929395, Time: 0.0126ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 15, AckNum: 14, Length: 1024, cwndSize: 9, Checksum: 4294932230, Time: 0.0054ms
Sent [Data] packet - Filename: 1.jpg, SeqNum: 16, AckNum: 15, Length: 1024, cwndSize: 9, Checksum: 4294935394, Time: 0.0137ms
Received [Data] packet - Filename: , SeqNum: 8, AckNum: 8, Length: 14, cwndSize: 9, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 9, AckNum: 9, Length: 14, cwndSize: 9, Checksum: 4294919553, Time: 0.001ms
Received [Data] packet - Filename: , SeqNum: 10, AckNum: 10, Length: 14, cwndSize: 9, Checksum: 4294919553, Time: 0.0011ms
Received [Data] packet - Filename: , SeqNum: 11, AckNum: 11, Length: 14, cwndSize: 9, Checksum: 4294919553, Time: 0.0009ms
